"タイムスタンプ","学年","性別","あなたが一番好きなメニュー","あなたが食堂で新たに提供してほしいメニュー","生協食堂の利用にあたっての不満点 [混雑している]","生協食堂の利用にあたっての不満点 [値段が高い]","生協食堂の利用にあたっての不満点 [メニューのバリエーションが少ない]","生協食堂の利用にあたっての不満点 [まずい]","生協食堂の利用にあたっての不満点 [コップが小さい]","生協食堂の利用にあたっての不満点 [給水機が少ない]","その他何か意見があればご記入ください","あなたの北館生協食堂利用頻度","あなたの南館生協食堂利用頻度","食堂での支払いにキャンパスペイ?食堂パスを利用していますか","もしあったら利用したいサービス","謎"
"2019/10/18 11:24:45 午前 GMT+9","学部2年","男","鮭丼","かつ丼","5","2","4","2","5","5","","4","0","キャンパスペイ","デリバリーサービス…教室などに食事が届けられます;テイクアウト","70812009"
"2019/10/18 11:24:57 午前 GMT+9","学部2年","男","test","tset2","5","2","4","2","5","5","","3","1","キャンパスペイ","","70812063"
"2019/10/18 11:27:18 午前 GMT+9","学部2年","男","チキンタツタ丼","チャーハン定食","5","5","5","1","5","5","","3","1","","朝食時間帯での営業","70812059"
"2019/10/18 11:43:02 午前 GMT+9","学部2年","男","豚かば丼","朝食","5","4","4","2","1","4","","4","2","食堂パス","朝食時間帯での営業","70812028"
"2019/10/18 11:44:56 午前 GMT+9","学部2年","女","塩だれチキン","多めの野菜","4","4","4","4","4","5","","0","0","キャンパスペイ","デリバリーサービス…教室などに食事が届けられます","99999999"
"2019/10/18 11:45:19 午前 GMT+9","学部2年","男","チキン塩ダレ","春夏秋冬の鶏塩ラーメン","4","2","5","2","4","4","","5","5","食堂パス","朝食時間帯での営業","99999999"
"2019/10/18 11:45:26 午前 GMT+9","学部2年","男","ラーメン","おむらしす","5","4","4","1","1","1","","3","1","","閉店間際の半額セール","99999999"
"2019/10/18 11:45:31 午前 GMT+9","学部2年","男","冷やし担々麺","革命をもたらしそうなメニュー","5","5","5","2","4","4","","4","1","食堂パス","テイクアウト","99999999"
"2019/10/18 11:46:06 午前 GMT+9","学部2年","女","鮭丼","づけサーモン丼","5","4","4","2","4","4","","2","1","キャンパスペイ","デリバリーサービス…教室などに食事が届けられます;閉店間際の半額セール","99999999"
"2019/10/18 11:47:09 午前 GMT+9","","浜松市中区冨塚177-23カレッジハウス201","チーズナン","DX台湾まぜそば","5","4","5","2","2","2","","4","0","キャンパスペイ","テイクアウト","99999999"
"2019/10/18 11:51:27 午前 GMT+9","学部2年","男","かけうどん","オムレツ","5","2","5","4","5","5","","5","0","食堂パス","閉店間際の半額セール","99999999"
"2019/10/18 12:53:50 午後 GMT+9","学部2年","男","麺","寿司","4","4","4","1","2","2","","4","1","食堂パス","テイクアウト","99999999"
"2019/10/18 2:07:15 午後 GMT+9","学部2年","女","豆腐バンバンジー？","野菜を手軽にいっぱい食べららるメニュー ミネストローネとか","5","4","4","2","2","4","","3","1","キャンパスペイ","テイクアウト","99999999"
"2019/10/18 4:11:15 午後 GMT+9","学部2年","女","冷やし担々麺","サラダ","5","2","2","1","1","4","","4","0","食堂パス","閉店間際の半額セール","99999999"
"2019/10/18 4:15:58 午後 GMT+9","学部2年","男","麦ごはん","煮物","5","2","2","1","5","2","","4","0","キャンパスペイ","","99999999"
"2019/10/18 7:37:36 午後 GMT+9","学部2年","男","魚介ラーメン","回鍋肉","4","1","5","1","5","5","","5","1","食堂パス","朝食時間帯での営業","99999999"
"2019/10/18 7:45:43 午後 GMT+9","学部2年","男","塩だれチキン","親子丼","1","2","4","5","5","5","","3","10","キャンパスペイ;食堂パス","閉店間際の半額セール","99999999"
"2019/10/18 7:46:47 午後 GMT+9","学部2年","男","とり竜田丼","とくになし","5","5","4","2","4","4","","1","0","","閉店間際の半額セール","99999999"
"2019/10/18 10:43:53 午後 GMT+9","学部2年","男","かき揚げ丼","鍋メニュー","5","2","5","2","2","4","","3","5","食堂パス","閉店間際の半額セール","99999999"
"2019/10/19 12:03:26 午後 GMT+9","学部2年","男","サンマ蒲焼き丼","親子丼","5","1","4","1","1","4","","2","3","キャンパスペイ","朝食時間帯での営業;閉店間際の半額セール","99999999"
"2019/10/19 4:26:31 午後 GMT+9","学部2年","女","おくら","親子丼","5","2","5","4","4","4","","2","1","キャンパスペイ","朝食時間帯での営業;デリバリーサービス…教室などに食事が届けられます;テイクアウト;閉店間際の半額セール","99999999"
"2019/10/20 12:13:16 午後 GMT+9","学部2年","女","鶏天","デザート","5","2","4","2","2","4","","5","1","キャンパスペイ","朝食時間帯での営業;デリバリーサービス…教室などに食事が届けられます;テイクアウト;閉店間際の半額セール","99999999"
"2019/10/21 3:03:25 午前 GMT+9","学部2年","男","丼","特に無い","4","4","2","1","1","4","","3","1","食堂パス","閉店間際の半額セール","99999999"
"2019/10/21 8:55:19 午前 GMT+9","学部2年","女","タコライス","田舎汁","4","1","2","2","2","4","","2","1","キャンパスペイ","","99999999"
"2019/10/21 1:35:02 午後 GMT+9","学部2年","男","唐揚げ丼","ひつまぶし","4","4","2","1","2","4","","5","4","キャンパスペイ;食堂パス","閉店間際の半額セール","99999999"
"2019/10/21 3:13:23 午後 GMT+9","学部2年","女","揚げ出し豆腐","スープカレー","5","1","1","1","4","4","","2","2","キャンパスペイ","朝食時間帯での営業;デリバリーサービス…教室などに食事が届けられます;テイクアウト;閉店間際の半額セール","99999999"
"2019/10/21 8:44:34 午後 GMT+9","学部2年","女","肉じゃが","パスタ","5","4","4","1","1","1","","2","1","キャンパスペイ","デリバリーサービス…教室などに食事が届けられます;テイクアウト","99999999"
